Date,Open,High,Low,Close,Adj Close,Volume
2017-12-12,0.252258,0.434102,0.250961,0.373541,0.373541,1555040000
2017-12-13,0.372689,0.513768,0.342964,0.471063,0.471063,2738759936
2017-12-14,0.470648,0.892267,0.466401,0.864263,0.864263,6358700032
2017-12-15,0.861760,0.861760,0.666114,0.756181,0.756181,3194210048
2017-12-16,0.755493,0.815923,0.741667,0.758642,0.758642,1334770048
2017-12-17,0.754125,0.765981,0.719929,0.728366,0.728366,805200000
2017-12-18,0.728036,0.792014,0.689323,0.778407,0.778407,1342720000
2017-12-19,0.777447,0.863536,0.756724,0.791257,0.791257,1449670016
2017-12-20,0.787171,0.789044,0.730953,0.775964,0.775964,1007420032
2017-12-21,0.782515,1.236220,0.782515,1.193060,1.193060,3626109952
2017-12-22,1.166510,1.379180,0.741013,1.138280,1.138280,4644700160
2017-12-23,1.165940,1.208100,1.076110,1.174340,1.174340,1497590016
2017-12-24,1.175580,1.175580,0.911226,1.043950,1.043950,754958976
2017-12-25,1.045610,1.128520,1.003560,1.122320,1.122320,686014016
2017-12-26,1.121740,1.191310,1.090620,1.189490,1.189490,938846976
2017-12-27,1.184220,1.468460,1.182340,1.399640,1.399640,2854259968
2017-12-28,1.393890,1.500800,1.258650,1.430880,1.430880,2843300096
2017-12-29,1.439570,2.265150,1.436580,2.214600,2.214600,7545739776
2017-12-30,2.199000,2.854530,2.035170,2.159020,2.159020,8108389888
2017-12-31,2.095100,2.392000,1.870300,2.300570,2.300570,4642079744
2018-01-01,2.296020,2.391030,2.148970,2.391030,2.391030,1894230016
2018-01-02,2.369480,2.489190,2.247930,2.480900,2.480900,3171010048
2018-01-03,2.464100,3.279380,2.443150,3.105370,3.105370,6635879936
2018-01-04,3.117340,3.841940,3.117340,3.196630,3.196630,8103660032
2018-01-05,3.300810,3.564680,2.825610,3.048710,3.048710,6288500224
2018-01-06,3.021050,3.236560,2.989920,3.093970,3.093970,2777560064
2018-01-07,3.092960,3.487250,3.083820,3.377810,3.377810,2395150080
2018-01-08,3.363570,3.363570,2.065520,2.456210,2.456210,3315259904
2018-01-09,2.443460,2.528960,1.980660,2.101780,2.101780,3694700032
2018-01-10,2.129910,2.158870,1.695190,1.974920,1.974920,4833639936
2018-01-11,1.980210,2.248980,1.615270,1.950800,1.950800,6296119808
2018-01-12,1.940480,2.156820,1.867290,2.043230,2.043230,3330810112
2018-01-13,2.051410,2.118700,1.982020,2.021350,2.021350,2130169984
2018-01-14,2.018520,2.018520,1.811840,1.861190,1.861190,1978200064
2018-01-15,1.856250,1.900810,1.665290,1.676730,1.676730,1838460032
2018-01-16,1.678360,1.701380,0.909313,1.179240,1.179240,5687960064
2018-01-17,1.183680,1.376730,0.897797,1.306340,1.306340,7251210240
2018-01-18,1.305580,1.733190,1.256050,1.596580,1.596580,9110439936
2018-01-19,1.582170,1.702140,1.501340,1.552050,1.552050,3697430016
